"ng-star-inserted","ng-star-inserted 2","ng-star-inserted 3"
"Max","Avg","Min"
"4","2.4","1"
"3","1.9","1"
"3","0.4","-2"
"3","-0.4","-3"
"-4","-4.7","-10"
"-2","-5.4","-12"
"-3","-6.7","-13"
"0","-2.7","-8"
"2","-5.4","-12"
"2","-2.9","-10"
"3","0.6","-4"
"5","2.0","-2"
"5","2.9","0"
"5","3.7","3"
"8","3.5","-2"
"9","2.5","-3"
"10","5.7","0"
"11","8.1","5"
"8","4.8","0"
"11","5.2","0"
"10","8.4","3"
"4","4.0","4"
