"ng-star-inserted","ng-star-inserted 2","ng-star-inserted 3"
"Max","Avg","Min"
"4","2.3","1"
"3","0.7","-3"
"0","-1.8","-4"
"0","-1.4","-4"
"0","-4.1","-10"
"1","-1.7","-5"
"1","-0.7","-3"
"-1","-2.2","-4"
"0","-2.1","-5"
"3","1.9","-1"
"6","3.5","1"
"5","1.6","-3"
"8","4.8","2"
"5","2.9","2"
"4","2.2","1"
"7","3.4","0"
"9","6.1","5"
"6","4.5","3"
"5","2.4","1"
"7","4.2","0"
"6","4.8","1"
"1","1.0","1"
