"ng-star-inserted","ng-star-inserted 2","ng-star-inserted 3"
"Max","Avg","Min"
"5","3.4","2"
"3","2.3","0"
"1","-0.4","-2"
"-1","-1.9","-5"
"-2","-3.8","-8"
"-2","-5.7","-8"
"0","-1.7","-7"
"1","-1.5","-6"
"2","-3.2","-8"
"2","0.2","-2"
"5","2.9","1"
"3","1.6","0"
"6","4.9","3"
"5","3.7","2"
"3","2.2","0"
"7","1.9","-3"
"10","5.9","3"
"9","5.7","2"
"5","2.8","1"
"8","4.2","1"
"8","6.5","4"
"4","4.0","4"
