City,Date,temp_max,temp_min
Kraków,2023-02-05,-4,-10
Kraków,2023-02-06,-2,-12
Kraków,2023-02-07,-3,-13
Kraków,2023-02-08,0,-8
Kraków,2023-02-09,2,-12
Kraków,2023-02-10,2,-10
Kraków,2023-02-11,3,-4
Kraków,2023-02-12,5,-2
Kraków,2023-02-13,5,0
Kraków,2023-02-14,5,3
Kraków,2023-02-15,8,-2
Kraków,2023-02-16,9,-3
Kraków,2023-02-17,10,0
Kraków,2023-02-18,11,5
Kraków,2023-02-19,8,0
Kraków,2023-02-20,11,0
Kraków,2023-02-21,10,3
Kraków,2023-02-22,4,4
Gdańsk,2023-01-01,15,8
Gdańsk,2023-01-02,12,7
Gdańsk,2023-01-03,7,3
Gdańsk,2023-01-04,8,0
Gdańsk,2023-01-05,8,0
Gdańsk,2023-01-06,2,-3
Gdańsk,2023-01-07,4,1
Gdańsk,2023-01-08,5,3
Gdańsk,2023-01-09,4,3
Gdańsk,2023-01-10,5,2
Gdańsk,2023-01-11,4,2
Gdańsk,2023-01-12,8,4
Gdańsk,2023-01-13,9,5
Gdańsk,2023-01-14,7,4
Gdańsk,2023-01-15,6,3
Gdańsk,2023-01-16,4,0
Gdańsk,2023-01-17,3,1
Gdańsk,2023-01-18,2,-3
Gdańsk,2023-01-19,3,-2
Gdańsk,2023-01-20,-1,-4
Gdańsk,2023-01-21,2,-2
Gdańsk,2023-01-22,1,-1
Gdańsk,2023-01-23,-1,-1
Gdańsk,2023-01-24,-1,-3
Gdańsk,2023-01-25,-1,-4
Gdańsk,2023-01-26,0,-3
Gdańsk,2023-01-27,2,-1
Gdańsk,2023-01-28,1,-2
Gdańsk,2023-01-29,2,-1
Gdańsk,2023-01-30,3,1
Gdańsk,2023-01-31,3,1
Wrocław,2023-02-01,5,1
Wrocław,2023-02-02,5,-2
Wrocław,2023-02-03,7,-3
Wrocław,2023-02-04,5,-4
Wrocław,2023-02-05,-1,-7
Wrocław,2023-02-06,0,-7
Wrocław,2023-02-07,0,-9
Wrocław,2023-02-08,0,-6
Wrocław,2023-02-09,5,-7
Wrocław,2023-02-10,4,-3
Wrocław,2023-02-11,6,0
Wrocław,2023-02-12,8,4
Wrocław,2023-02-13,7,4
Wrocław,2023-02-14,5,0
Wrocław,2023-02-15,8,-4
Wrocław,2023-02-16,9,-5
Wrocław,2023-02-17,13,2
Wrocław,2023-02-18,11,6
Wrocław,2023-02-19,6,1
Wrocław,2023-02-20,12,0
Wrocław,2023-02-21,12,5
Wrocław,2023-02-22,5,5
Wrocław,2023-01-01,17,11
Wrocław,2023-01-02,14,9
Wrocław,2023-01-03,11,-1
Wrocław,2023-01-04,10,-3
Wrocław,2023-01-05,12,5
Wrocław,2023-01-06,9,-1
Wrocław,2023-01-07,11,2
Wrocław,2023-01-08,9,-1
Wrocław,2023-01-09,8,0
Wrocław,2023-01-10,7,4
Wrocław,2023-01-11,8,1
Wrocław,2023-01-12,10,5
Wrocław,2023-01-13,11,5
Wrocław,2023-01-14,9,4
Wrocław,2023-01-15,10,3
Wrocław,2023-01-16,7,1
Wrocław,2023-01-17,7,-4
Wrocław,2023-01-18,2,-3
Wrocław,2023-01-19,2,-4
Wrocław,2023-01-20,2,-5
Wrocław,2023-01-21,1,-2
Wrocław,2023-01-22,1,0
Wrocław,2023-01-23,2,1
Wrocław,2023-01-24,3,1
Wrocław,2023-01-25,2,1
Wrocław,2023-01-26,2,0
Wrocław,2023-01-27,1,0
Wrocław,2023-01-28,1,-2
Wrocław,2023-01-29,1,-2
Wrocław,2023-01-30,4,-1
Wrocław,2023-01-31,5,1
